s#	c#	grade
2201313145	Ling-89	63.7
2203722753	IE-93	71.2
2201313145	ME-73	99.4
2206123674	Bio-24	85.4
2204215031	Chem-90	84.6
2205022209	Bio-08	98.0
2202214752	CS-53	82.2
2201212249	Chem-27	77.0
2203221407	Math-11	36.6
2206113854	BE-06	80.3
2206515201	Chem-77	64.0
2203712717	Econ-61	86.0
2201323125	Econ-51	71.3
2206515223	ChE-79	89.7
2205312848	Econ-66	93.8
2206113968	ChE-29	98.4
2206113911	Econ-67	81.6
2204112311	Chem-00	97.6
2205114711	Phys-07	71.5
2201313120	CE-74	92.2
2184124615	Ling-89	87.4
2206113990	Chem-16	23.7
2203722773	CE-23	80.2
2203113227	IE-76	83.8
2204313351	Bio-57	28.4
2203312527	Math-11	96.8
2206113770	CS-56	65.0
2201422067	Ling-89	42.1
2203221443	IE-76	63.9
2203211405	Stat-33	75.5
2203214797	Stat-48	67.0
2206123887	Bio-35	99.3
2204613221	Stat-28	9.3
2204111713	IE-76	84.5
2206113829	Ling-92	91.4
2204511817	Stat-28	78.9
2202311939	Stat-28	85.8
2203513472	ChE-29	56.9
2206113786	Stat-28	82.6
2195123228	Ling-43	93.0
2203211399	Phys-46	23.8
2201313140	Stat-33	80.6
2206113795	Stat-33	49.0
2203613045	Ling-27	74.1
2201111583	Econ-35	65.5
2203312585	Math-32	92.6
2204224971	CE-23	75.6
2205012145	AE-73	70.4
2206113910	AE-73	85.4
2206113610	Ling-92	38.6
2201111590	Phys-62	88.6
2206113566	IE-54	90.6
2203312521	Ling-27	90.2
2203613023	Econ-66	99.5
2205114671	CE-97	78.4
2202214752	Stat-29	82.1
2203211390	Phys-31	86.6
2203312527	Econ-61	68.5
2206113978	Math-32	11.1
2206412641	BE-34	97.5
2203613013	Phys-41	70.4
2203513484	Bio-58	42.0
2203312576	IE-67	7.0
2205114685	Math-54	8.9
2203712731	Econ-76	87.4
2203312490	Bio-24	95.7
2195123233	Ling-92	40.9
2203312597	CE-23	28.5
2201323090	Phys-46	99.9
2203712708	Econ-81	91.5
2203221443	CS-05	82.5
2205114721	BE-21	8.7
2204222854	Math-32	49.2
2201212255	IE-67	93.4
2205114689	AE-18	80.4
2203711825	AE-96	25.9
2205114656	Bio-58	15.1
2203113240	AE-18	19.3
2206113773	EE-94	81.9
2205114721	Math-32	96.4
2203114809	Chem-00	93.0
2204111720	Math-32	70.7
2203623015	Ling-35	96.7
2203712711	EE-69	78.9
2202321925	AE-96	99.0
2203712774	CS-53	86.7
2206123951	Chem-34	80.5
2205012196	ChE-86	79.3
2203412941	Phys-09	72.9
2206123774	ME-73	91.8
2206422632	IE-54	82.0
2204313375	IE-54	92.6
2203513486	Econ-31	30.3
2206113827	Bio-60	64.1
2201422034	BE-06	95.6
2205012202	Ling-43	88.9
2205012187	Econ-66	77.9
2204313351	Phys-46	97.0
2206113929	Phys-36	77.4
2206113880	IE-95	52.2
2204112347	Math-32	61.5
2202214756	Bio-57	70.4
2206113793	Bio-57	75.5
2206113964	Chem-00	60.7
2203211413	Chem-45	85.6
2203412947	Chem-90	64.8
2206115145	Chem-00	95.1
2202123450	Ling-89	94.8
2201313149	Stat-01	61.2
2206113762	Math-27	94.2
2206113601	Phys-46	44.4
2203312572	IE-93	76.0
2206412674	AE-77	36.2
2203322493	Chem-83	69.2
2205114725	IE-95	88.3
2206223271	Math-90	60.2
2206412636	ME-91	99.7
2202321925	Econ-67	86.5
2203312558	Stat-29	99.2
2206312134	Bio-57	76.8
2202311934	Phys-09	77.3
2201323107	CE-97	64.9
2204214954	IE-95	60.2
2206113733	CE-20	14.3
2196214618	Ling-89	69.6
2205312848	EE-94	68.5
2203712721	AE-91	90.6
2206114026	Math-27	89.0
2206113879	Chem-90	36.5
2204215009	ChE-29	77.9
2203211448	Chem-77	63.1
2206113625	AE-73	65.4
2195314619	Math-32	84.7
2206113795	Math-32	76.7
2204313363	Econ-81	55.4
2204112303	CS-53	93.5
2206111757	Chem-27	84.1
2203613045	CE-32	25.9
2201422007	Econ-59	79.2
2204613216	ME-73	6.2
2206113957	EE-69	77.4
2205012204	Econ-35	7.3
2203412944	Econ-61	96.7
2204313334	AE-77	73.0
2206515211	AE-77	60.7
2206113864	Chem-45	66.3
2201313134	Chem-35	31.6
2204112304	Math-11	64.8
2205322841	Math-54	85.3
2201222247	AE-98	95.8
2206113712	CE-74	69.5
2206113731	Stat-29	82.4
2206113729	Chem-35	94.4
2204222855	Stat-33	99.0
2205322841	Stat-33	93.7
2206113870	Chem-27	98.9
2202215131	CS-01	58.5
2203612979	Math-54	50.2
2201511776	CS-05	93.3
2206113636	EE-69	79.5
2206113998	AE-77	96.9
2203312555	EE-69	93.6
2206113727	Phys-07	85.3
2203712701	Stat-33	97.7
2204313386	Chem-42	70.8
2203711826	Bio-08	85.3
2206515202	Stat-01	99.7
2206123578	Stat-33	76.9
2206123611	Bio-08	84.3
2205312848	ChE-79	49.1
2206422633	Econ-31	68.8
2203422939	Math-57	99.3
2206111763	Math-11	76.6
2204214990	Math-11	92.9
2202215131	Phys-07	97.6
2203513500	ChE-62	81.4
2203712761	ChE-29	89.4
2205114712	Chem-42	23.1
2203712718	AE-91	41.9
2203312575	Phys-36	36.7
2203513484	Ling-36	86.6
2205312842	CE-20	71.2
2203513500	IE-93	87.3
2206123776	Stat-47	93.7
2206113884	AE-77	81.7
2206113654	IE-57	64.5
2206213276	Ling-35	84.3
2203311497	Chem-83	78.4
2203211388	ChE-79	75.9
2206113617	Econ-66	98.6
2206123715	BE-70	62.4
2205114684	Bio-44	79.0
2206113905	Math-19	63.1
2206113587	Ling-89	66.4
2206113771	CS-01	84.7
2204214957	Econ-66	62.5
2203211440	ME-91	71.5
2203211430	Phys-36	91.3
2206412636	Econ-51	68.0
2205114684	Econ-66	91.0
2203712780	Chem-34	65.0
2206113773	Chem-27	55.8
2204214959	Econ-35	90.7
2195123228	AE-38	100.0
2204511814	Stat-29	87.4
2206123705	Chem-77	45.4
2206113574	IE-76	73.9
2206515197	CE-97	84.3
2204323361	AE-91	89.5
2203712759	Bio-57	66.3
2206123679	ME-19	64.5
2204323361	Phys-31	77.9
2204511804	ME-73	87.1
2201212256	AE-98	6.2
2203221423	IE-54	36.4
2201412025	CE-97	96.6
2202113428	ChE-62	98.7
2205114717	ME-86	69.9
2206113996	CS-05	26.7
2206113603	Chem-45	16.8
2204222863	Bio-44	67.1
2206312132	CE-23	92.3
2205012201	AE-77	87.0
2203312521	Phys-26	86.9
2206115146	Math-19	71.4
2206123691	Phys-62	92.0
2206322135	Math-57	98.1
2204313374	ME-64	87.2
2204112334	BE-70	77.8
2202123450	ChE-62	88.9
2204112324	IE-95	91.5
2204313307	Phys-46	68.7
2206113712	Chem-34	84.1
2206312132	CE-32	88.0
2202214763	Econ-35	71.3
2206113750	IE-76	89.7
2206113888	ChE-86	99.6
2204411645	CS-01	69.7
2202321922	ChE-62	95.3
2203211400	Stat-48	5.2
2204411647	ME-64	73.9
2202113447	Chem-77	98.3
2204214989	ME-73	90.0
2202113426	IE-67	28.3
2206113816	CS-56	63.8
2206312132	Phys-36	94.2
2205114662	Econ-05	78.3
2202113429	Math-32	80.6
2201222257	Phys-31	93.4
2206113841	Ling-43	70.5
2206113865	Econ-35	9.3
2206123691	CE-32	14.6
2201222247	Chem-42	94.8
2203312552	AE-18	71.7
2206412634	Bio-99	73.3
2203523475	CE-32	1.0
2205114709	CS-05	57.3
2206113740	Econ-31	60.4
2204313323	Math-32	98.4
2195314621	ME-86	61.0
2204112374	Chem-35	87.1
2205114694	IE-57	60.6
2203221445	Ling-89	95.1
2206123804	Phys-36	92.4
2206213276	CE-20	71.5
2204215021	IE-67	97.1
2206123882	CE-74	72.4
2201312107	Econ-76	84.0
2205012204	ME-92	66.3
2201313108	IE-76	50.5
2203612993	Stat-29	78.6
2201412031	Chem-16	72.0
2207115386	BE-70	81.8
2203312477	Stat-33	98.7
2206113968	Math-27	88.5
2203513470	Math-11	98.0
2201422016	Phys-07	81.9
L203000005	Econ-05	48.5
2204313395	AE-91	91.8
2206123659	ChE-46	73.7
2201323160	Econ-81	67.5
2206113757	Chem-00	82.8
2206113740	AE-96	49.4
2203312574	Econ-66	61.5
2203221446	IE-67	55.4
2206123859	Econ-66	91.7
2203312521	CE-74	79.9
2201422061	Chem-90	83.5
2206113819	CE-32	69.8
2205114656	BE-06	76.3
2205114715	Chem-27	88.3
2203312564	Phys-46	71.2
2203312500	ME-73	85.1
2201323113	ChE-62	87.5
2206123925	Econ-05	36.4
2205012199	AE-96	75.8
2204122312	CS-01	87.0
2204613216	Stat-47	51.8
2203312567	CE-74	97.2
2206113585	Chem-16	31.5
2206113929	CS-36	60.7
2206123839	BE-70	62.1
2201412083	Math-32	8.1
2203613013	IE-54	69.2
2206115147	IE-57	83.5
2206113602	Phys-31	85.1
2203113235	AE-38	40.1
2206113897	Chem-27	34.2
2203312564	Econ-59	81.8
2206515224	Chem-34	74.0
2203312587	ME-92	15.5
2203712721	Stat-29	83.0
2203312571	Bio-60	71.5
2206123705	CE-32	95.9
2206113786	Econ-61	60.1
2202311939	CS-05	8.8
2206113998	Math-19	86.3
2202113426	CS-01	21.3
2206123694	Stat-01	81.9
2203712739	Phys-36	58.3
2204122281	ChE-29	37.9
2201121579	Ling-43	97.4
2205012170	Phys-31	9.4
2205312830	Stat-48	53.8
2201313143	Ling-89	44.0
2203312571	ChE-46	75.0
2203221417	CE-97	14.7
2203712688	Math-90	92.7
2203422935	CE-23	88.9
2204323322	Stat-33	5.8
2206515197	AE-77	74.1
2184114624	Chem-27	67.8
2204215007	BE-06	97.6
2203712721	Phys-31	80.3
2206113734	EE-94	81.0
2205114651	CE-23	79.2
2205114671	Math-90	84.8
2206113786	ChE-79	41.0
2205114725	Econ-81	76.7
2206515199	CE-20	86.3
2203312574	Bio-57	51.4
2204411688	Ling-92	90.9
2204312625	Econ-35	61.5
2203211401	Phys-31	60.6
2203211399	ME-19	27.6
2204214989	IE-57	81.1
2206113792	Econ-81	77.0
2201412015	Math-11	33.0
2206113803	AE-91	16.9
2203312587	ChE-46	44.2
2205012203	CS-36	87.5
2205012206	Econ-76	0.4
2201111586	Econ-05	65.4
2204511804	Bio-44	86.4
2203312596	Ling-36	2.1
2204112341	Phys-41	7.0
2203312561	IE-95	60.5
2206113938	CS-56	64.3
2201121599	Stat-28	62.3
2203221397	AE-18	77.8
2203612984	Chem-27	65.8
2206113603	Chem-90	84.9
2203511792	CE-97	78.7
2206123852	ME-19	63.8
2202113437	IE-54	79.8
2204112324	Stat-33	76.8
2183410425	ME-92	50.0
2204313356	Math-11	83.9
2204112303	Chem-16	76.0
2203613041	Math-54	29.2
2201323127	Bio-44	65.4
2206123659	Bio-25	61.2
2206113706	Chem-34	64.3
2203712710	AE-77	99.9
2201412060	ChE-29	60.0
2206113599	Chem-00	43.8
2206123641	IE-93	60.7
2201312105	CS-05	1.7
2206113671	ME-73	8.0
2206115146	AE-96	26.1
2206123715	Econ-51	9.1
2203312591	CE-23	64.1
2206123887	Econ-35	81.6
2206113771	Stat-29	13.0
2206113930	Econ-61	86.2
2206113798	EE-94	84.7
2206113590	AE-18	68.9
2206123902	Math-19	84.2
2206113681	Econ-35	58.1
2206113809	Phys-62	84.2
2206113673	Econ-81	74.6
2204222871	Econ-35	81.6
2205012176	Ling-36	92.5
2202214768	Stat-33	86.2
2201412074	Econ-66	36.5
2206114022	ChE-29	99.2
2206113680	ChE-46	48.4
2206113910	Phys-07	75.3
2205312848	BE-06	92.0
2203612984	CE-74	91.9
2206113763	Econ-05	69.3
2203712717	Chem-34	76.6
2203712759	CE-23	98.7
2206113797	ChE-79	94.5
2203412942	Econ-67	69.8
2204311545	ME-64	98.3
2206113681	Bio-44	94.7
2206113729	Chem-83	81.0
2206113884	BE-06	89.4
2203712757	Bio-24	80.6
2205114723	Stat-01	63.4
2202113425	Econ-51	67.8
2204112328	ChE-29	13.0
2204214989	AE-38	75.6
2205114647	Math-54	58.0
2206123886	AE-91	61.2
2203712787	Stat-48	82.0
2206113628	Math-11	85.2
2184114625	Bio-35	34.9
2206422633	CE-23	68.4
2203712689	ME-92	21.2
2204421644	CS-05	89.6
2205021366	Econ-66	64.2
2204313307	AE-96	90.3
2203221407	Chem-16	72.1
2203113237	CE-23	96.4
2203712727	Chem-00	49.8
2204225015	EE-69	61.9
2202214768	Econ-05	77.9
2203312578	Econ-67	70.7
2206113978	Ling-03	84.8
2205114695	Chem-42	69.4
2205312828	Ling-27	75.1
2205012175	Chem-27	67.0
2201312105	Ling-36	83.7
2203113234	Math-57	92.8
2183410425	Phys-36	22.4
2202311933	Bio-44	85.3
2201412056	EE-69	83.3
2203712725	Phys-41	69.6
2206124236	Math-54	81.5
2204122369	Ling-43	96.6
2204112330	ME-92	25.6
2205312829	Math-32	66.1
2204112379	Econ-67	61.0
2202311923	Math-90	92.6
2203312574	AE-96	62.2
2204112309	Phys-62	79.6
2204122364	Math-11	45.6
2204214986	ME-86	17.2
2202215131	Phys-62	17.5
2205012177	ME-88	76.8
2206422649	CE-32	88.6
2206213286	BE-21	56.5
2202214756	Bio-44	76.3
2203211431	BE-70	78.7
2201412070	CS-05	63.4
2203412933	Ling-89	86.5
2201323107	Bio-99	82.9
2203712694	BE-34	7.5
2204215021	BE-34	91.3
2195314621	ChE-79	77.8
2203312538	Bio-24	79.1
2203211431	ChE-79	68.3
2206123604	CE-32	79.3
2203712763	EE-09	85.0
2203211391	Phys-62	64.3
2204112374	ChE-86	83.3
2204224980	Ling-43	14.1
2206113794	Bio-57	69.6
2203312541	ME-64	62.1
2195014606	Math-57	13.7
2203312585	AE-77	38.3
2206113996	Econ-59	84.5
2203312528	IE-76	94.5
2206113642	Bio-99	23.4
2204112331	ChE-62	89.6
2204112380	IE-76	82.8
2203113236	CS-01	73.4
2203712708	IE-67	95.6
2201313146	Stat-29	83.6
2201412056	Math-27	94.0
2201521778	ME-91	57.9
2203513493	ME-91	20.3
2202113449	BE-34	86.8
2205012199	Stat-33	82.6
2202321925	ChE-79	6.6
2206113745	Econ-81	99.5
2203211139	IE-65	86.5
2206113888	CS-05	84.4
2206111760	AE-98	92.0
2204313371	Econ-59	48.0
2206113668	Phys-31	77.5
2203712732	Stat-29	96.1
2204112309	Econ-81	87.5
2204411688	Econ-67	0.7
2204112324	AE-18	78.8
2184114626	Math-90	74.2
2204214959	Ling-03	68.8
2201313114	Econ-35	84.3
2203612998	Chem-34	66.4
2206113740	Chem-35	34.8
2206113888	AE-77	84.0
2206113809	AE-91	72.9
2203211390	ME-91	67.2
2204112327	CS-56	91.9
2204225034	Math-54	79.8
2206113884	Math-11	6.5
2201412056	Ling-03	80.7
2206113761	CS-36	65.3
2206113890	Econ-81	46.0
2203312551	AE-73	54.9
2203411282	Stat-28	66.3
2203312484	BE-70	7.9
2203312561	Econ-05	13.6
2202112672	Phys-41	58.3
2201313120	Stat-33	73.8
2203412944	AE-38	61.4
2204313397	ChE-46	80.2
2201511780	Chem-42	86.3
2205114683	Chem-34	75.3
2206113897	Bio-08	68.7
2203312873	Chem-27	42.2
2204421644	BE-70	96.7
2206113729	Phys-09	91.6
2203712774	CE-20	61.3
2206113984	Chem-34	91.6
2204112377	ChE-29	61.8
2206113566	CS-36	88.7
2206113873	EE-94	66.6
2203211427	AE-91	50.8
2201313146	Stat-01	28.7
2206113960	AE-91	80.9
2204112374	Bio-44	74.6
2206123758	Chem-16	90.7
2204222855	Econ-81	83.6
2204111713	AE-91	81.9
2203211465	Phys-41	85.6
2201313158	ME-64	89.8
2203613006	AE-38	88.6
2204112330	Ling-27	94.0
2206113590	Stat-01	94.6
2206113766	Econ-76	82.0
2206515219	Econ-67	17.0
2204421339	Phys-07	67.2
2203613044	Econ-35	70.9
2204225034	CE-23	86.5
2203322530	CS-53	84.2
2203712710	Stat-01	0.4
2206113821	Ling-27	18.5
2203312541	CE-74	14.1
2203312556	Ling-03	12.3
2203613017	Ling-89	74.7
2204112374	EE-94	62.4
2202113430	Ling-35	77.8
2204313333	Bio-99	91.1
2206113633	Math-54	76.3
2206123902	Econ-76	39.7
2203312575	Econ-67	93.1
2206123776	Stat-33	81.2
2201312105	Stat-48	70.8
2203211139	Bio-99	67.3
2203322485	Econ-76	79.8
2205022179	ChE-46	90.0
2203712701	IE-65	68.8
2206123776	AE-98	67.0
2201111582	AE-18	79.1
2206113742	Math-19	79.7
2203312501	Ling-89	66.7
2196514761	Stat-47	77.8
2204313315	AE-77	62.0
2202311932	Bio-58	84.4
2206113916	AE-77	96.9
2204313363	EE-09	82.7
2206113753	IE-65	78.2
2203312585	Chem-16	20.6
2206113628	Econ-66	67.5
2206113855	Phys-62	83.7
2201413085	Econ-76	80.9
2202311936	ChE-46	9.9
2203511794	ME-19	83.4
2203711824	CS-05	95.9
2203221429	Bio-99	69.6
2203211401	Bio-44	17.6
2184124615	Bio-44	65.8
2203513467	Math-27	44.5
2204421326	Ling-43	86.2
2202224793	AE-96	62.6
2206412641	AE-91	78.7
2203712741	IE-67	50.1
2205012202	Ling-03	61.6
2203513488	Ling-36	64.5
2203523475	Econ-81	50.3
2206113602	Ling-27	97.8
2206210735	IE-65	70.6
2204112377	IE-57	88.9
2204112378	ChE-79	92.2
2206113763	IE-95	62.1
2204313397	Econ-67	85.1
2205114721	Phys-62	66.7
2201313128	Stat-33	74.3
2203211398	Ling-27	86.6
2204112377	Chem-77	82.0
2201422020	Phys-07	83.9
2206113599	Phys-41	21.3
2206123650	AE-73	92.6
2206123674	CE-20	72.3
2201212238	IE-65	33.7
2206113982	Bio-44	81.5
2203422939	BE-70	92.7
2203624800	Math-90	16.7
2201412074	Math-90	7.5
L203000002	Econ-67	94.8
2204313374	CS-01	72.5
2205114651	CS-36	10.7
2206213286	Ling-43	70.4
2201222237	Bio-57	55.9
2203312576	Ling-43	87.2
2203211404	ME-92	48.4
2204215009	IE-76	5.5
2205012172	IE-95	21.2
2204112349	Math-57	13.9
2206412641	ME-19	84.6
2201412036	Stat-01	75.4
2203312541	Bio-57	95.5
2204112377	Econ-81	64.3
2201212243	IE-67	95.1
2206312123	Math-27	82.9
2184114622	Econ-66	79.6
2206515218	Bio-44	61.3
2206113589	Econ-51	8.9
2206123971	Bio-35	70.5
2206223273	BE-06	62.5
2203712775	CE-74	92.1
2203422935	Chem-16	65.4
2203211430	Econ-31	70.7
2206113712	Ling-89	88.3
2204613216	Econ-76	86.2
2204215006	CS-53	98.4
2204313397	Bio-35	98.0
2204313333	Ling-89	78.9
2203312495	Bio-35	2.1
2205114721	CE-74	80.3
2202311933	IE-93	97.3
2204122369	ChE-46	76.8
2206113786	Phys-46	78.7
2203612992	Chem-42	98.3
2203712696	CE-74	73.0
2204313385	Chem-45	78.6
2203624800	Ling-89	72.6
2201412015	Econ-35	66.8
2202311936	Bio-58	60.6
2203312585	Econ-61	93.2
2201322106	IE-57	62.1
2201313119	CS-01	4.2
2206113784	BE-70	61.5
2204313386	CE-97	93.3
2206111760	Math-27	28.3
2206123983	Bio-24	73.3
2204313334	CS-56	2.6
2204511818	Bio-35	79.5
2203513495	Chem-00	81.1
2203211427	Math-57	97.2
2205012190	ChE-86	90.2
2206515200	ChE-79	91.7
2205114685	Ling-92	99.3
2205114695	Chem-35	65.3
2203211432	Bio-60	61.5
2203513476	Bio-44	69.4
2204323361	CE-74	65.2
2201313129	ME-64	66.2
2203211474	Econ-59	67.8
2206113602	CE-23	61.3
2206123985	Econ-61	94.0
2205114725	Chem-42	63.1
2205012207	ChE-46	62.8
2203221446	AE-91	30.1
2206113630	Math-57	73.8
2206123882	Bio-08	72.3
2206515219	Chem-16	46.0
2195314619	BE-21	90.7
2203412923	Math-11	72.2
2203513493	Chem-45	77.8
2203511794	ME-86	95.2
2203513491	Chem-00	80.8
2201422034	Bio-24	64.9
2203712779	CS-53	76.2
2203211424	Bio-25	60.6
2203312555	Chem-77	67.8
2201111582	ChE-29	98.2
2201412078	Bio-24	6.9
2203712741	Chem-00	78.0
2203712767	Bio-35	70.6
2204214973	Math-90	58.3
2206113727	Ling-03	63.7
2204111713	Econ-59	9.1
2203211405	Bio-44	76.0
2204313374	Ling-43	63.4
2206113713	Ling-92	65.9
2184114625	Econ-59	82.9
2202224791	BE-34	0.9
2203412947	Bio-58	55.1
2203712780	IE-93	76.4
2202224791	ME-73	83.3
2204214963	Bio-08	42.1
2203722736	Bio-44	94.1
2201412073	Math-54	61.6
2204215035	BE-06	94.5
2204613215	Math-19	97.6
2205111306	ME-73	43.9
2206113675	ChE-79	34.5
2204521807	ChE-62	75.5
2206113687	Math-90	92.7
2203211437	ME-64	87.9
2203513486	AE-73	31.7
2202113429	Ling-89	17.7
2204521807	CS-05	86.4
2206515200	Bio-24	98.8
2205012168	Phys-41	70.6
2204411668	Bio-08	84.4
2186110003	Econ-67	72.5
2203712783	Econ-61	81.0
2206123862	Bio-25	25.1
2203711826	AE-91	3.8
2204111720	AE-77	69.4
2203712739	Math-57	87.1
2206113964	ChE-29	98.0
2194324705	CS-36	65.2
2205114649	Stat-29	92.8
2203211424	Ling-03	49.9
2201313129	Chem-77	72.2
2204214950	ME-92	85.9
2206113840	Ling-27	21.2
2201313145	Stat-47	60.4
2206213275	ME-86	96.4
2201212238	Phys-62	16.9
2204112304	BE-34	85.9
2203312488	Chem-34	15.8
2206113675	ChE-62	62.7
2204313376	IE-57	3.5
2206213276	Ling-36	77.3
2204411643	CE-32	62.7
2201412019	IE-93	72.7
2203211444	AE-91	63.9
2203312531	Econ-51	65.2
2204214953	Econ-61	60.5
2205012176	IE-95	91.0
2203712725	AE-18	85.6
2201412056	Chem-16	42.1
2204112311	CE-23	1.4
2203312567	IE-76	86.4
2203714806	AE-77	79.9
2203513488	Chem-27	85.7
2194324705	Ling-35	85.5
2203513506	ME-88	28.0
2201412019	Econ-61	95.8
2201412070	Ling-92	75.7
2203712757	Chem-90	86.1
2206123758	ChE-29	97.9
2203712761	Ling-35	78.7
2202321922	Math-54	64.4
2205114723	ME-64	84.0
2205012176	ME-91	85.8
2203221429	Ling-89	82.2
2184214561	ME-64	32.6
2206113602	BE-70	67.6
2208125394	Bio-60	73.2
2206113954	BE-34	84.5
2205022209	Ling-27	54.2
2206412636	ME-88	99.2
2203312873	Stat-48	91.0
2204112304	Ling-35	13.6
2205114712	AE-91	45.7
2204411682	CE-74	99.3
2204214978	IE-95	26.0
2194324705	Chem-83	87.6
2203312528	Math-32	94.9
2202113447	Econ-59	46.9
2204212856	AE-73	78.7
2201313108	CS-36	81.3
2206124260	IE-95	76.8
2205022179	ME-88	79.3
2203221445	ChE-29	74.0
2206113762	EE-09	99.9
2201323126	Econ-66	72.7
2206113797	IE-93	80.9
2204112372	Econ-51	62.4
2205114686	Econ-61	86.8
2203513502	AE-18	86.3
2203311497	Econ-51	88.5
2204511756	Chem-90	43.8
2206113603	Math-19	88.9
2204214986	IE-93	95.2
2203722746	CE-20	81.4
2206113913	EE-94	91.2
2203612998	Bio-99	49.7
2202113432	AE-73	87.3
2206113612	Bio-08	98.0
2203312585	Econ-35	80.4
2205114647	Ling-36	87.2
2206113926	Stat-48	97.3
2205114712	Math-27	85.5
2206113978	Stat-47	36.8
2201323107	Chem-42	86.9
